LECROYWR610Zi,62129,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,11-Nov-2021 10:54:01,0                 
Time,Ampl
-0.4774323,0.0443677
-0.4764323,0.0443677
-0.4754323,0.0111583
-0.4744323,0.077577
-0.4734323,0.0443677
-0.4724323,0.0111583
-0.4714323,0.0443677
-0.4704323,0.0443677
-0.4694323,0.0443677
-0.4684323,0.0111583
-0.4674323,0.0443677
-0.4664323,0.0443677
-0.4654323,0.077577
-0.4644323,0.0111583
-0.4634323,0.0443677
-0.4624323,0.0111583
-0.4614323,0.0111583
-0.4604323,0.0111583
-0.4594323,0.0111583
-0.4584323,0.0111583
-0.4574323,0.0111583
-0.4564323,0.0111583
-0.4554323,0.0111583
-0.4544323,0.0443677
-0.4534323,4.89293
-0.4524323,4.92614
-0.4514323,4.89293
-0.4504323,4.95935
-0.4494323,4.99256
-0.4484323,4.92614
-0.4474323,4.92614
-0.4464323,4.99256
-0.4454323,4.92614
-0.4444323,4.99256
-0.4434323,4.95935
-0.4424323,0.077577
-0.4414323,0.0443677
-0.4404323,0.077577
-0.4394323,0.077577
-0.4384323,0.077577
-0.4374323,0.0443677
-0.4364323,0.0111583
-0.4354323,0.0111583
-0.4344323,0.0111583
-0.4334323,0.0443677
-0.4324323,0.0111583
-0.4314323,0.0111583
-0.4304323,0.0443677
-0.4294323,4.89293
-0.4284323,4.89293
-0.4274323,4.95935
-0.4264323,4.92614
-0.4254323,4.92614
-0.4244323,4.99256
-0.4234323,4.99256
-0.4224323,4.99256
-0.4214323,4.99256
-0.4204323,4.99256
-0.4194323,4.95935
-0.4184323,4.99256
-0.4174323,4.95935
-0.4164323,4.99256
-0.4154323,4.99256
-0.4144323,4.99256
-0.4134323,4.99256
-0.4124323,4.99256
-0.4114323,4.99256
-0.4104323,4.99256
-0.4094323,4.99256
-0.4084323,5.02577
-0.4074323,5.02577
-0.4064323,4.99256
-0.4054323,4.99256
-0.4044323,4.99256
-0.4034323,4.95935
-0.4024323,4.99256
-0.4014323,4.99256
-0.4004323,4.99256
-0.3994323,5.02577
-0.3984323,5.02577
-0.3974323,4.99256
-0.3964323,4.99256
-0.3954323,5.02577
-0.3944323,4.99256
-0.3934323,4.99256
-0.3924323,4.99256
-0.3914323,5.02577
-0.3904323,4.99256
-0.3894323,4.99256
-0.3884323,5.02577
-0.3874323,4.99256
-0.3864323,5.05898
-0.3854323,4.99256
-0.3844323,4.99256
-0.3834323,4.99256
-0.3824323,5.09219
-0.3814323,4.99256
-0.3804323,4.99256
-0.3794323,4.99256
-0.3784323,5.02577
-0.3774323,4.99256
-0.3764323,4.99256
-0.3754323,5.05898
-0.3744323,4.99256
-0.3734323,4.99256
-0.3724323,4.99256
-0.3714323,4.99256
-0.3704323,4.99256
-0.3694323,4.99256
-0.3684323,4.99256
-0.3674323,5.05898
-0.3664323,4.99256
-0.3654323,4.99256
-0.3644323,4.99256
-0.3634323,4.99256
-0.3624323,4.95935
-0.3614323,4.99256
-0.3604323,4.99256
-0.3594323,4.99256
-0.3584323,4.99256
-0.3574323,4.99256
-0.3564323,4.99256
-0.3554323,4.95935
-0.3544323,4.99256
-0.3534323,4.99256
-0.3524323,4.99256
-0.3514323,4.99256
-0.3504323,4.99256
-0.3494323,4.99256
-0.3484323,4.99256
-0.3474323,4.99256
-0.3464323,4.99256
-0.3454323,4.99256
-0.3444323,5.02577
